,balanced512_step24000,easysk512_step24000,hardsk512_24000,old512_step24000,gold formula
244,( ( ( x_2 >= 0.5332 or x_2 >= 0.5332 ) and ( x_2 >= 0.5332 or x_2 >= 0.5332 ) ) and ( ( x_2 >= 0.5332 or x_2 >= 0.5332 ) or ( x_1 >= -0.5332 or x_2 >= -0.5332 ) ) ),"( ( ( x_2 >= -0.1055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0005 ) ) until[1,20] ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.0555 ) ) )",not ( not ( not ( x_2 <= 0.5999 ) ) ),"eventually[1,13] ( x_2 >= 0.6223 )","always[9,16] ( x_2 >= 0.5843 )"
245,not ( not ( not ( x_2 >= 0.223 ) ) ),not ( ( ( x_2 <= -0.1055 or x_2 <= -0.1055 ) or ( x_2 <= -0.0055 or x_2 <= -0.1525 ) ) ),not ( not ( not ( x_2 <= 0.1891 ) ) ),not ( x_2 <= -0.0223 ),not ( x_2 <= 0.0039 )
246,"( ( ( ( x_2 >= -0.233 or x_0 >= -0.333 ) or ( x_0 >= -0.3632 or x_0 >= -0.3632 ) ) or ( ( x_1 >= -0.3332 or x_2 >= -0.1632 ) or ( x_0 >= -0.3632 until[26,33] x_2 >= -0.332 ) ) ) until[2,inf] ( ( ( x_1 >= -0.3332 or x_2 >= -0.2232 ) or ( x_1 >= -0.2322 or x_1 >= -0.2222 ) ) or ( ( x_1 >= -0.2632 or x_2 >= -0.2632 ) or ( x_1 >= -0.2632 or x_2 >= -0.2632 ) ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) or ( x_2 <= -0.0005 until[25,32] x_2 <= -0.0005 ) ) ) or ( ( ( x_2 <= -0.0005 until[29,34] x_2 <= -0.0005 ) or ( x_2 <= -0.0005 until[23,30] x_2 <= -0.0555 ) ) or ( ( x_2 <= -0.1505 until[26,34] x_2 <= -0.0555 ) or ( x_0 <= -0.2205 or x_2 <= -0.0505 ) ) ) )","( ( ( ( ( x_2 >= -0.0367 or x_2 >= -0.0367 ) or ( x_0 >= -0.0367 or x_0 <= -0.0367 ) ) or ( ( x_0 <= -0.0367 or x_0 <= -0.0367 ) or ( x_0 >= -0.0367 and x_0 >= -0.0367 ) ) ) until[10,22] ( ( ( x_0 >= -0.0397 or x_2 >= -0.0367 ) or ( x_0 >= -0.0367 and x_2 >= -0.0367 ) ) or ( ( x_0 >= -0.0967 or x_0 >= -0.0397 ) or ( x_0 >= -0.0397 and x_2 >= -0.0397 ) ) ) ) or ( ( ( ( x_0 >= -0.0967 and x_0 >= -0.0997 ) or ( x_0 >= -0.0397 and x_0 >= -0.0097 ) ) or ( ( x_0 >= -0.0997 and x_0 >= -0.0097 ) or ( x_0 >= -0.0997 and x_0 >= -0.0997 ) ) ) until[10,22] eventually[10,22] ( not ( ( x_2 <= 0.0993 ) ","( ( x_2 >= -0.2929 or x_2 >= -0.2929 ) or ( x_2 >= -0.2299 until[19,21] x_2 >= 0.2925 ) )","( ( ( ( x_1 >= -0.2186 and x_1 <= -0.0503 ) or always[3,9] ( ( always[9,15] ( always[5,20] ( x_1 <= -0.7307 ) ) until[13,21] x_2 <= -1.7195 ) ) ) until[6,20] x_0 >= -0.533 ) or eventually[11,13] ( ( eventually ( x_2 >= 0.5199 ) or ( not ( x_2 >= -0.8226 ) and ( eventually[19,inf] ( ( x_1 <= -0.1003 or eventually[3,12] ( ( x_1 >= -1.5505 until[4,6] eventually[7,15] ( x_0 >= 0.7535 ) ) ) ) ) and x_1 >= -1.4533 ) ) ) ) )"
247,"( ( ( x_2 >= -0.233 or x_0 >= -0.333 ) and ( x_0 >= -0.363 or x_0 >= -0.3632 ) ) until[15,23] ( ( x_2 >= -0.3632 or x_0 >= -0.3632 ) or ( x_0 >= -0.3632 or x_2 >= -0.3632 ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0055 or x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.1005 or x_2 <= -0.0005 ) ) ) until[1,15] ( ( ( x_0 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.1555 or x_2 <= -0.0505 ) ) or ( ( x_0 <= -0.1505 or x_2 <= -0.0505 ) or ( x_0 <= -0.1555 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 >= -0.036 or x_2 >= -0.066 ) or ( x_2 >= -0.0667 or x_0 >= -0.0667 ) ) or ( ( x_0 >= -0.0667 or x_0 >= -0.0667 ) and ( x_0 >= -0.0667 and x_2 >= -0.0667 ) ) ) until[10,22] ( ( ( x_0 >= -0.0367 or x_2 >= -0.0367 ) or ( x_0 >= -0.0667 or x_2 >= -0.066 ) ) or ( ( x_0 >= -0.066 and x_0 >= -0.066 ) and ( x_0 >= -0.066 and x_0 >= -0.066 ) ) ) )","( x_2 <= -0.2929 until[1,13] x_0 <= 0.5299 )",( x_2 >= -0.5503 and x_0 <= 0.6747 )
248,"eventually[23,34] ( not ( always[1,inf] ( x_2 <= 0.6332 ) ) )","( ( ( ( x_2 >= -0.0055 or x_2 <= -0.0055 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) until[21,30] ( x_2 <= -0.0555 or x_2 <= -0.0555 ) ) ) until[10,25] not ( ( ( x_2 <= -0.0555 and x_2 <= -0.0555 ) and ( x_2 <= -0.1555 and x_2 <= -0.0555 ) ) ) )","( ( ( ( x_0 >= -0.0337 or x_0 >= -0.0397 ) or ( x_0 >= -0.0397 or x_0 >= -0.0397 ) ) or ( ( x_0 >= -0.0397 or x_0 >= -0.0397 ) until[11,28] ( x_0 >= -0.0397 or x_0 >= -0.0397 ) ) ) until[10,22] not ( ( ( x_2 <= -0.5397 and x_2 <= -0.5397 ) and ( x_2 <= -0.0997 and x_2 <= -0.0097 ) ) ) )","eventually[19,inf] ( x_2 >= 0.6925 )","not ( always[7,inf] ( x_2 <= 0.72 ) )"
249,"( ( ( x_2 >= 0.5332 or x_2 >= -0.5332 ) and ( x_2 >= -0.6332 or x_2 >= 0.7332 ) ) until[1,22] ( ( x_2 >= 0.7332 or x_1 >= -0.6332 ) or ( x_2 >= -0.6332 or x_2 >= -0.6332 ) ) )","( ( ( ( x_2 >= -0.0055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0005 ) ) or ( ( x_2 >= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.1555 until[10,25] x_2 >= -0.0555 ) ) ) until[1,10] ( ( ( x_2 >= -0.0555 or x_2 >= -0.0505 ) or ( x_2 >= -0.0555 or x_2 >= -0.0555 ) ) or ( ( x_0 >= -0.1555 or x_2 >= -0.0505 ) or ( x_0 >= -0.1555 or x_2 >= -0.0555 ) ) ) )","( ( ( x_2 >= -0.5391 or x_2 >= 0.7691 ) or ( x_2 >= -0.6691 or x_2 >= -0.9697 ) ) until[10,25] ( ( x_2 >= -0.6697 or x_2 >= -0.0397 ) or ( x_0 >= -0.0397 or x_2 >= -0.0397 ) ) )","eventually[1,13] ( x_2 >= 0.9266 )","eventually[17,21] ( x_2 >= 0.903 )"
250,not ( ( ( x_2 >= 0.333 or x_2 >= 0.333 ) or ( x_2 >= 0.333 or x_2 >= 0.333 ) ) ),"not ( ( ( ( x_2 >= -0.0555 and x_2 >= -0.0055 ) and ( x_2 >= -0.0055 and x_2 >= -0.0005 ) ) or ( ( x_2 >= -0.0005 and x_2 >= -0.0005 ) until[1,20] ( x_2 >= -0.0555 or x_2 >= -0.1505 ) ) ) )",not ( ( ( x_2 >= 0.5397 or x_2 >= 0.5397 ) or ( x_2 >= 0.5397 and x_2 >= -0.5397 ) ) ),"eventually[12,16] ( x_2 <= 0.3223 )","eventually[15,17] ( x_2 <= 0.3979 )"
251,"( ( ( x_2 >= -0.533 or x_2 >= -0.533 ) or ( x_0 >= -0.633 until[26,33] x_2 >= -0.6332 ) ) until[2,inf] ( ( x_2 >= -0.6332 or x_0 >= -0.6632 ) or ( x_1 >= -0.6632 or x_2 >= -0.6632 ) ) )","( ( ( ( x_2 <= -0.5055 or x_2 <= -0.0005 ) or ( x_0 <= -0.0055 and x_2 <= -0.0005 ) ) until[20,23] ( ( x_0 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.0005 or x_2 <= -0.0005 ) ) ) or ( ( ( x_0 <= -0.0005 until[27,34] x_2 <= -0.0005 ) or ( x_0 <= -0.0555 until[22,30] x_2 <= -0.0555 ) ) or ( ( x_0 <= -0.0505 until[26,33] x_2 <= -0.0505 ) or ( x_0 <= -0.0555 until[26,32] x_2 >= -0.5555 ) ) ) )","( ( ( ( x_0 >= -0.0337 or x_0 >= -0.0397 ) or ( x_0 >= -0.0667 and x_0 >= -0.0397 ) ) until[10,28] ( ( x_0 >= -0.0397 or x_0 >= -0.0397 ) or ( x_0 >= -0.0997 and x_0 >= -0.0397 ) ) ) or ( ( ( x_0 >= -0.0997 and x_0 >= -0.0397 ) until[10,25] ( x_0 >= -0.0397 or x_0 >= -0.0397 ) ) until[10,22] ( ( x_0 >= -0.0397 and x_0 >= -0.0399 ) or ( x_0 >= -0.099 and x_0 >= -0.0999 ) ) ) )","eventually[19,21] ( always[16,20] ( ( x_2 >= -0.7922 until[16,19] x_2 >= -0.7222 ) ) )","always[10,inf] ( not ( x_2 <= -0.8924 ) )"
252,not ( ( ( x_2 >= -0.233 or x_2 >= -0.223 ) or ( x_2 >= -0.223 or x_2 >= -0.226 ) ) ),not ( ( ( x_2 >= -0.2055 or x_2 >= -0.2005 ) or ( x_2 >= -0.2005 or x_2 >= -0.2005 ) ) ),not ( ( ( x_2 >= -0.0391 or x_2 >= -0.0397 ) or ( x_2 >= -0.0397 or x_2 >= -0.2997 ) ) ),( x_2 <= -0.2229 and x_1 >= -1.0222 ),"( x_1 >= -1.7408 until[3,16] x_2 <= -0.2007 )"
253,( ( ( x_2 >= 0.3332 or x_2 >= 0.3332 ) and ( x_2 >= 0.3332 or x_2 >= 0.3332 ) ) and ( ( x_2 >= 0.3332 or x_2 >= 0.3332 ) or ( x_2 >= 0.3332 or x_2 >= 0.3332 ) ) ),"( ( ( x_2 >= -0.1055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0005 ) ) until[1,20] ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.1505 ) ) )",not ( ( ( x_2 <= 0.3393 or x_2 <= 0.5097 ) or ( x_2 <= 0.5697 or x_2 <= 0.5697 ) ) ),"eventually[12,16] ( x_2 >= 0.3223 )","eventually[9,13] ( always[4,10] ( x_2 >= 0.3642 ) )"
254,"( ( ( x_2 >= 0.5332 or x_2 >= 0.5332 ) and ( x_2 >= 0.5332 or x_1 >= -0.5332 ) ) until[2,inf] ( ( x_2 >= 0.5332 or x_1 >= -0.5332 ) or ( x_2 >= 0.5332 or x_1 >= -0.6332 ) ) )","( ( ( ( x_2 >= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0055 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.1555 until[21,24] x_2 <= -0.0005 ) ) ) until[1,10] ( ( ( x_2 >= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.1555 or x_2 <= -0.0555 ) ) or ( ( x_0 <= -0.1555 or x_2 <= -0.0505 ) or ( x_0 <= -0.1555 or x_2 <= -0.0555 ) ) ) )","( ( ( ( x_2 >= -0.0367 or x_2 >= -0.0367 ) or ( x_2 >= -0.0097 or x_2 >= -0.0097 ) ) or ( ( x_0 >= -0.5697 or x_0 >= -0.0397 ) or ( x_0 >= -0.0397 and x_0 >= -0.0397 ) ) ) until[10,22] ( ( ( x_0 >= -0.0397 or x_2 >= -0.0397 ) or ( x_0 >= -0.0397 or x_0 >= -0.0397 ) ) or ( ( x_0 >= -0.0397 and x_0 >= -0.0397 ) or ( x_0 >= -0.0397 and x_0 >= -0.0099 ) ) ) )","eventually[19,21] ( ( x_2 >= 0.6226 until[16,19] x_2 >= 0.6925 ) )",( x_1 <= 1.3425 until x_2 >= 0.7763 )
255,"( ( ( x_2 <= -0.333 or x_2 >= -0.333 ) and ( x_1 >= -0.363 or x_2 >= -0.363 ) ) until[15,23] ( ( x_1 >= -0.363 or x_0 >= -0.3632 ) or ( x_1 >= -0.3632 or x_2 >= -0.3632 ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) ) until[1,10] ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.2005 or x_2 <= -0.0005 ) or ( x_0 <= -0.2005 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 <= -0.0367 or x_2 >= -0.0367 ) or ( x_2 <= -0.0397 or x_2 <= -0.0397 ) ) or ( ( x_0 <= -0.0397 or x_2 <= -0.0397 ) or ( x_1 >= -0.0397 and x_2 >= -0.0397 ) ) ) until[10,22] ( ( ( x_1 >= -0.0397 or x_2 <= -0.0397 ) or ( x_1 >= -0.0397 or x_2 >= -0.039 ) ) or ( ( x_0 <= -0.099 and x_0 <= -0.0997 ) and ( x_0 <= -0.039 and x_0 >= -0.099 ) ) ) )","( x_2 <= -0.2929 until[19,21] x_1 >= 0.6229 )","( not ( x_2 >= 0.6317 ) until[19,21] x_1 >= -0.9622 )"
256,not ( ( ( x_2 <= 0.3332 or x_2 <= 0.3332 ) or ( x_2 <= 0.3332 or x_2 <= 0.3332 ) ) ),"( ( ( x_2 >= -0.1055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0005 ) ) until[1,20] ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.1505 ) ) )",not ( ( ( x_2 <= 0.0037 or x_2 <= 0.3967 ) or ( x_2 <= 0.3997 and x_2 <= -0.3397 ) ) ),"eventually[12,16] ( x_2 >= 0.2222 )","eventually[15,20] ( x_2 >= 0.2883 )"
257,not ( not ( not ( x_2 <= -0.222 ) ) ),not ( ( ( x_2 >= -0.1055 or x_2 >= -0.1055 ) or ( x_2 >= -0.1055 or x_2 >= -0.1525 ) ) ),not ( not ( not ( x_2 >= -0.1391 ) ) ),not ( x_2 >= -0.0222 ),"always[5,7] ( x_2 <= -0.106 )"
258,"eventually[2,inf] ( ( ( x_2 >= -0.533 or x_2 >= -0.633 ) until[23,33] ( x_2 >= -0.6332 or x_2 >= -0.636 ) ) )","( ( ( ( x_2 <= -0.5155 or x_2 <= -0.0055 ) or ( x_0 <= -0.0055 and x_2 <= -0.0005 ) ) until[20,23] ( ( x_0 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.0005 or x_2 <= -0.0005 ) ) ) or always[29,33] ( ( ( x_2 >= -0.0005 or x_2 >= -0.3005 ) or ( x_2 >= -0.2205 until[20,29] x_2 >= -0.5055 ) ) ) )","eventually[10,28] ( eventually[10,22] ( eventually[10,13] ( not ( x_2 <= -0.7991 ) ) ) )","eventually[19,inf] ( x_2 >= -0.6925 )","always[19,21] ( eventually[11,20] ( always[14,inf] ( x_2 >= -0.7701 ) ) )"
259,"( ( ( x_2 <= 0.233 or x_0 >= -0.233 ) or ( x_0 >= -0.333 or x_0 >= -0.363 ) ) or ( ( x_0 >= -0.363 and x_2 >= 0.2632 ) or ( x_0 >= -0.3632 until[2,20] x_2 >= 0.332 ) ) )","( ( ( ( x_2 <= -0.0055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0055 or x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.1005 or x_2 <= -0.0005 ) or ( x_0 <= -0.1005 or x_2 <= -0.0005 ) ) ) or ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.2225 until[25,33] x_2 <= -0.0555 ) ) or ( ( x_0 <= -0.2205 or x_2 <= -0.0505 ) or ( x_0 <= -0.2205 or x_2 <= -0.0555 ) ) ) )","( ( ( ( x_2 >= -0.036 or x_2 >= -0.036 ) or ( x_0 <= -0.0097 or x_0 <= -0.0367 ) ) or ( ( x_0 <= -0.0367 or x_0 <= -0.0367 ) or ( x_0 <= -0.0367 or x_0 >= -0.0367 ) ) ) or ( ( ( x_0 <= -0.0367 or x_0 <= -0.0367 ) or ( x_0 <= -0.0397 or x_0 >= -0.0397 ) ) until[10,25] ( ( x_0 >= -0.039 or x_2 >= -0.009 ) or ( x_0 <= -0.096 and x_0 >= -0.009 ) ) ) )","( x_2 <= -0.0299 or ( x_0 >= 0.2299 until[16,19] x_2 >= 0.2225 ) )","( eventually[11,18] ( not ( ( ( always[2,6] ( x_0 >= -1.8441 ) or x_2 >= -2.2988 ) and ( always[13,16] ( x_0 <= 0.6001 ) and x_2 >= -0.2458 ) ) ) ) or x_0 <= -1.3349 )"
260,not ( not ( not ( x_2 <= -0.528 ) ) ),not ( ( ( x_2 >= -0.5155 or x_2 >= -0.5055 ) or ( x_2 >= -0.5005 or x_2 >= -0.5005 ) ) ),not ( ( ( x_2 >= -0.5391 or x_2 >= -0.5997 ) or ( x_2 >= -0.5997 or x_2 >= -0.5997 ) ) ),not ( x_2 >= -0.4222 ),"( ( x_2 <= -0.5087 or x_2 <= -0.9913 ) and not ( always[10,19] ( x_2 >= 0.2863 ) ) )"
261,( ( ( x_0 <= 0.533 or x_0 <= 0.323 ) and ( x_2 <= 0.223 or x_0 <= 0.563 ) ) and ( ( x_2 <= 0.263 or x_0 <= 0.562 ) or ( x_2 <= 0.262 and x_0 <= 0.366 ) ) ),"( ( ( ( x_2 <= 0.5155 or x_2 <= 0.0055 ) or ( x_2 <= 0.0055 or x_2 <= 0.0006 ) ) or ( ( x_0 <= 0.2555 or x_2 <= 0.0006 ) or ( x_0 <= 0.2555 or x_2 <= 0.2225 ) ) ) until[1,10] ( ( ( x_0 <= 0.5555 or x_2 <= 0.0005 ) or ( x_0 <= 0.2555 or x_2 <= 0.1555 ) ) or ( ( x_0 <= 0.2555 or x_2 <= 0.2525 ) or ( x_0 <= 0.2555 or x_2 <= 0.1555 ) ) ) )",( ( ( x_2 <= 0.2221 or x_2 <= 0.2267 ) and ( x_0 <= 0.5697 and x_0 <= 0.5697 ) ) and ( ( x_0 <= 0.5697 and x_0 <= 0.2997 ) and ( x_0 <= 0.2997 and x_0 <= 0.2997 ) ) ),( x_2 <= 0.4296 and x_0 <= 0.4595 ),( x_2 <= 0.3386 until x_0 <= 0.6454 )
262,( ( ( x_2 <= -0.533 or x_2 <= -0.533 ) and ( x_2 <= -0.533 or x_2 <= -0.663 ) ) or ( ( x_2 <= -0.663 and x_2 <= -0.663 ) and ( x_1 <= -0.663 or x_2 <= -0.666 ) ) ),"( ( ( ( x_2 <= -0.5055 or x_2 <= -0.7005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) and ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) ) until[1,10] ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) ) )",( ( ( x_2 <= -0.5391 or x_2 <= -0.599 ) or ( x_2 <= -0.6997 or x_2 <= -0.699 ) ) or ( ( x_2 <= -0.6997 or x_2 <= -0.6997 ) or ( x_0 <= -0.699 and x_2 <= -0.6997 ) ) ),( x_2 <= -0.7299 or x_1 <= -1.2222 ),"( ( ( ( eventually[8,10] ( x_2 >= 0.0011 ) and x_1 <= 1.5061 ) until[11,18] ( not ( x_2 >= 1.8526 ) and ( ( ( x_0 >= 1.0232 and always[17,20] ( not ( always[4,17] ( x_1 >= -1.4939 ) ) ) ) until[0,12] x_0 >= -1.6731 ) and x_2 >= 0.123 ) ) ) and not ( x_1 >= -0.8573 ) ) or x_2 <= -0.6411 )"
263,"( ( ( x_2 >= 0.5332 or x_2 >= -0.5332 ) and ( x_2 >= -0.6332 or x_2 >= 0.8332 ) ) until[1,22] ( ( x_2 >= 0.7332 or x_1 >= -0.6332 ) or ( x_2 >= -0.6332 or x_2 >= -0.6332 ) ) )","( ( ( ( x_2 >= -0.0055 or x_2 >= -0.0055 ) or ( x_2 >= -0.0055 or x_2 >= -0.0005 ) ) or ( ( x_2 >= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0555 until[10,25] x_2 >= -0.0555 ) ) ) until[1,10] ( ( ( x_2 >= -0.0005 or x_2 >= -0.0005 ) or ( x_2 >= -0.1555 or x_2 >= -0.0555 ) ) or ( ( x_0 >= -0.1555 or x_2 >= -0.0505 ) or ( x_0 >= -0.1555 or x_2 >= -0.0555 ) ) ) )","( ( ( ( x_2 >= -0.5331 or x_2 >= -0.0397 ) or ( x_2 >= -0.0397 or x_2 >= -0.0397 ) ) or ( ( x_0 >= -0.0397 or x_0 >= -0.0397 ) or ( x_0 >= -0.0397 and x_0 >= -0.0397 ) ) ) until[10,22] not ( ( ( x_2 <= -0.0397 and x_2 <= -0.0397 ) and ( x_2 <= -0.0397 and x_2 <= -0.0397 ) ) ) )","eventually[16,20] ( x_2 >= 1.0223 )",( x_2 >= -0.0707 until x_2 >= 1.1289 )
264,( ( ( x_2 <= -0.333 or x_2 >= -0.333 ) and ( x_1 >= -0.363 or x_2 >= -0.363 ) ) and ( ( x_2 >= -0.363 or x_1 >= -0.363 ) or ( x_0 >= -0.363 and x_1 >= -0.363 ) ) ),"( ( ( ( x_2 <= -0.2055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) ) until[1,10] ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.2005 or x_2 <= -0.0005 ) or ( x_0 <= -0.2005 or x_2 <= -0.0505 ) ) ) )","( ( ( ( x_2 <= -0.036 or x_2 >= -0.036 ) or ( x_2 <= -0.0397 or x_2 <= -0.0397 ) ) or ( ( x_2 <= -0.0397 or x_1 <= -0.0397 ) or ( x_0 <= -0.0397 and x_2 >= -0.0397 ) ) ) until[1,19] ( ( ( x_1 <= -0.0397 or x_2 <= -0.0397 ) or ( x_1 <= -0.0397 or x_0 <= -0.0397 ) ) or ( ( x_0 <= -0.099 and x_2 <= -0.039 ) and ( x_0 <= -0.099 and x_0 >= -0.099 ) ) ) )",( x_2 <= -0.4299 and x_1 >= 0.6299 ),"( x_2 <= 0.5145 and ( x_1 >= -1.0795 and eventually[11,inf] ( always[13,17] ( x_0 >= -1.9224 ) ) ) )"
265,not ( not ( not ( x_2 >= -0.323 ) ) ),not ( ( ( x_2 <= -0.4155 and x_2 <= -0.4055 ) or ( x_2 <= -0.4055 or x_2 <= -0.2225 ) ) ),not ( not ( not ( x_2 <= -0.4991 ) ) ),not ( x_2 <= -0.2222 ),"always[5,11] ( x_2 >= -0.2975 )"
266,"( ( ( x_2 <= -0.533 or x_2 <= -0.633 ) and ( x_2 <= -0.633 or x_2 <= -0.663 ) ) until[2,23] ( ( x_2 <= -0.633 or x_0 <= -0.7262 ) or ( x_1 <= -0.6632 or x_2 <= -0.6632 ) ) )","( ( ( ( x_2 <= -0.7055 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 and x_2 <= -0.0005 ) ) or ( ( x_2 <= -0.0005 and x_2 <= -0.0005 ) until[20,23] ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) ) until[2,10] ( ( ( x_2 <= -0.0005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) or ( ( x_0 <= -0.2005 or x_2 <= -0.0005 ) or ( x_2 <= -0.0005 or x_2 <= -0.0005 ) ) ) )","( ( ( ( x_2 <= -0.5337 or x_2 <= -0.5397 ) or ( x_0 <= -0.0997 or x_2 <= -0.0397 ) ) or ( ( x_0 <= -0.0997 or x_0 <= -0.0997 ) or ( x_0 <= -0.0997 and x_0 <= -0.0997 ) ) ) until[10,22] ( ( ( x_0 <= -0.0997 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 and x_0 <= -0.0399 ) ) or ( ( x_0 <= -0.0997 and x_0 <= -0.0399 ) and ( x_0 <= -0.099 and x_0 <= -0.0997 ) ) ) )","eventually[19,21] ( eventually[16,19] ( ( x_2 <= -0.8292 until[16,19] x_2 <= -0.8222 ) ) )",eventually ( x_2 <= -0.9676 )
267,not ( ( ( x_2 <= 0.233 or x_2 <= -0.233 ) or ( x_2 <= -0.133 or x_2 <= -0.1632 ) ) ),"not ( ( ( ( x_2 <= -0.0555 and x_2 <= -0.0055 ) or ( x_2 <= -0.0055 and x_2 <= -0.1005 ) ) or ( ( x_2 <= -0.1525 until[12,20] x_2 <= -0.1505 ) or ( x_0 <= -0.1555 or x_2 <= -0.1505 ) ) ) )",not ( ( ( x_2 <= -0.0037 or x_2 <= -0.0097 ) or ( x_2 <= -0.0097 and x_2 <= -0.0097 ) ) ),"eventually[1,13] ( x_2 >= -0.0222 )","( eventually[11,17] ( x_2 >= -0.027 ) or x_2 >= 1.0462 )"
268,( ( ( x_2 <= 0.2232 or x_0 <= 0.2232 ) and ( x_0 <= 0.2232 and x_0 <= 0.226 ) ) and ( ( x_2 <= 0.262 or x_0 <= 0.262 ) or ( x_0 <= 0.262 and x_2 <= 0.262 ) ) ),"( ( ( ( x_2 <= 0.0055 and x_2 <= -0.0055 ) or ( x_2 <= 0.1055 or x_2 <= 0.0005 ) ) or ( ( x_0 <= 0.1005 or x_2 <= -0.0005 ) and ( x_0 <= -0.1005 or x_2 <= 0.1225 ) ) ) until[1,10] ( ( ( x_0 <= -0.0005 or x_2 <= -0.0005 ) or ( x_0 <= -0.1525 or x_2 <= 0.1225 ) ) or ( ( x_0 <= 0.2225 or x_2 <= -0.0505 ) or ( x_0 <= 0.2225 or x_2 <= 0.1525 ) ) ) )","( ( ( ( x_2 <= 0.0367 or x_2 <= 0.0367 ) or ( x_0 <= 0.0397 or x_0 <= 0.0397 ) ) and ( ( x_0 <= -0.0397 and x_0 <= -0.0397 ) and ( x_0 <= -0.0397 and x_2 <= -0.0397 ) ) ) until[1,19] ( ( ( x_0 <= -0.0397 or x_0 <= -0.0397 ) or ( x_0 <= -0.0397 and x_2 <= -0.0397 ) ) or ( ( x_0 <= -0.0397 and x_0 <= -0.0397 ) and ( x_0 <= -0.039 and x_0 <= -0.009 ) ) ) )","( x_2 <= 0.0226 until[1,10] x_0 <= -0.1225 )","( x_2 <= -0.0476 until[10,18] eventually ( x_0 <= 0.2522 ) )"
