,Formula
12930,"( always[13,22] ( ( ( x_1 >= -1.3004 and x_0 <= -0.7052 ) or ( x_1 <= -1.7919 or x_1 >= -0.6304 ) ) ) until[23,inf] ( ( not ( x_3 >= -0.7508 ) and not ( x_0 <= 1.1869 ) ) and ( eventually[19,32] ( x_1 <= 1.0359 ) or ( x_3 >= 1.2575 and x_3 <= -0.1385 ) ) ) )"
12931,"not ( eventually[30,inf] ( eventually[18,20] ( not ( x_2 >= -2.1397 ) ) ) )"
12932,"eventually[20,33] ( not ( not ( always[29,32] ( x_2 <= 0.5148 ) ) ) )"
12933,"eventually ( ( not ( ( x_2 <= 2.6072 or x_1 <= -0.9143 ) ) until[16,25] eventually[14,30] ( eventually[33,inf] ( x_3 >= 0.4187 ) ) ) )"
12934,"eventually ( eventually[26,31] ( ( eventually[19,35] ( x_3 <= -0.9362 ) and ( x_1 >= 0.2242 or x_3 >= -0.6393 ) ) ) )"
12935,"not ( eventually[9,21] ( ( eventually[23,34] ( x_0 >= -0.5698 ) and not ( x_0 <= -0.7943 ) ) ) )"
12936,"( ( always[29,36] ( eventually[19,inf] ( x_2 <= -0.8656 ) ) or ( eventually[29,34] ( x_2 <= 2.1143 ) and not ( x_3 <= 0.1326 ) ) ) or always[21,24] ( eventually[0,7] ( ( x_1 <= 1.1991 until[6,21] x_2 <= -0.5447 ) ) ) )"
12937,"eventually[30,inf] ( ( not ( ( x_0 >= 1.5772 until x_1 <= 0.3889 ) ) and ( ( x_1 >= -0.2867 and x_0 <= -0.7253 ) or always[13,18] ( x_0 <= -0.1512 ) ) ) )"
12938,"always[28,31] ( ( not ( ( x_2 >= -0.6056 and x_2 >= 0.5026 ) ) or not ( always[26,34] ( x_1 >= -0.2922 ) ) ) )"
12939,"( ( ( eventually[15,24] ( x_1 >= -0.5523 ) until[8,23] not ( x_0 <= 1.0204 ) ) or eventually[14,29] ( eventually[17,20] ( x_1 >= 0.6898 ) ) ) and eventually[2,inf] ( ( eventually[18,31] ( x_3 <= 0.5636 ) or ( x_2 >= -0.9247 until x_2 >= -0.9574 ) ) ) )"
12940,"( not ( always[11,34] ( ( x_3 <= 2.0953 and x_0 <= -0.7235 ) ) ) or ( ( ( x_3 <= 0.553 or x_3 <= 0.3569 ) and not ( x_3 <= 0.796 ) ) and always[22,31] ( ( x_0 >= 1.0139 or x_1 <= 0.4966 ) ) ) )"
12941,"( not ( always[4,6] ( always ( x_2 >= 0.7337 ) ) ) or eventually[11,28] ( ( ( x_1 <= -1.0223 and x_0 <= -0.1388 ) and always[20,33] ( x_2 >= -0.6022 ) ) ) )"
12942,"( eventually[32,inf] ( ( ( x_2 >= 1.2158 or x_0 <= -0.1918 ) and not ( x_1 >= -0.0733 ) ) ) and not ( eventually[0,20] ( ( x_3 <= 0.2639 or x_1 >= 3.1873 ) ) ) )"
12943,"eventually[25,29] ( ( ( ( x_1 <= -0.3947 and x_2 <= -0.2857 ) and not ( x_1 >= -0.0292 ) ) and not ( ( x_2 >= -0.3194 or x_0 <= -0.1098 ) ) ) )"
12944,"not ( always[6,18] ( always[21,34] ( ( x_1 >= 1.256 until[24,36] x_0 <= -1.7626 ) ) ) )"
12945,"not ( ( not ( ( x_2 >= -0.1943 and x_0 >= 2.0875 ) ) and ( eventually[18,22] ( x_0 <= -0.0083 ) until[1,23] ( x_1 <= 0.6186 until[17,21] x_1 >= 1.1433 ) ) ) )"
12946,"( ( ( ( x_0 <= -0.7434 or x_2 <= 1.5008 ) and ( x_3 <= -0.3693 or x_3 >= 0.4962 ) ) or always[16,inf] ( not ( x_3 >= 0.4823 ) ) ) or eventually[34,inf] ( ( eventually[16,36] ( x_2 >= -0.5268 ) or not ( x_2 <= -0.4574 ) ) ) )"
12947,"not ( eventually[10,12] ( ( not ( x_2 <= 0.6826 ) until[6,18] always[15,24] ( x_3 >= -0.1342 ) ) ) )"
12948,"( always[1,inf] ( ( ( x_1 <= -0.8805 or x_2 <= -2.5739 ) and ( x_3 <= 1.4891 and x_3 >= 0.7542 ) ) ) or ( eventually[16,19] ( ( x_1 >= -0.87 until[8,inf] x_0 <= 0.5476 ) ) or not ( ( x_3 >= -0.0641 until[34,inf] x_3 <= 0.2662 ) ) ) )"
12949,"eventually[2,4] ( always[7,24] ( eventually[14,36] ( not ( x_3 <= -0.7702 ) ) ) )"
12950,"( ( not ( not ( x_3 >= 0.5175 ) ) and eventually[3,26] ( ( x_0 >= 0.7241 or x_2 >= 0.5416 ) ) ) or ( ( not ( x_0 >= 1.1536 ) and ( x_3 >= -0.4867 until[11,inf] x_2 <= -0.4942 ) ) or ( always[31,36] ( x_3 <= 0.4692 ) until[16,29] eventually[9,12] ( x_3 <= 1.1216 ) ) ) )"
12951,"eventually[21,36] ( always[33,inf] ( ( ( x_3 <= -0.6674 until[9,15] x_2 <= -0.0127 ) and ( x_1 <= -0.0899 or x_3 >= -0.4005 ) ) ) )"
12952,"not ( eventually[2,13] ( ( ( x_3 <= -0.9684 or x_3 <= 1.5688 ) or ( x_0 <= 0.1173 or x_2 <= -1.1963 ) ) ) )"
12953,"always[24,34] ( eventually[14,30] ( ( eventually[33,35] ( x_0 >= -0.7312 ) or eventually[15,28] ( x_1 >= 0.6179 ) ) ) )"
12954,"( ( ( ( x_1 >= -0.385 and x_1 <= -1.8182 ) and ( x_3 <= -2.3006 until[10,inf] x_2 >= -0.9794 ) ) or ( eventually[16,30] ( x_2 <= 0.3636 ) and ( x_3 >= -1.1046 and x_3 <= -0.0667 ) ) ) or not ( eventually[20,32] ( ( x_2 >= -0.7838 or x_0 <= -1.9229 ) ) ) )"
12955,"( not ( ( always[23,26] ( x_3 >= 0.0838 ) until ( x_2 >= 0.6569 until[15,30] x_0 <= 1.4104 ) ) ) until[9,15] always ( ( not ( x_2 >= -0.7353 ) or ( x_2 >= 0.815 or x_0 <= 0.3898 ) ) ) )"
12956,"not ( ( always ( not ( x_1 <= 1.3953 ) ) or always[6,23] ( always ( x_2 >= -0.8048 ) ) ) )"
12957,"eventually[31,34] ( ( not ( not ( x_3 >= 1.0323 ) ) and always[19,24] ( eventually[22,27] ( x_3 <= 0.651 ) ) ) )"
12958,"eventually[10,15] ( not ( ( ( x_2 <= -1.0281 and x_2 >= 0.7165 ) or eventually[26,33] ( x_3 <= -0.9124 ) ) ) )"
12959,"( ( always[8,24] ( not ( x_2 >= -0.0084 ) ) and ( ( x_3 <= 0.3665 or x_2 <= -1.2476 ) until[3,31] always[25,34] ( x_2 >= -0.5168 ) ) ) and ( eventually[29,31] ( ( x_2 <= 0.71 and x_0 <= 0.3582 ) ) or not ( eventually[0,33] ( x_0 <= 0.402 ) ) ) )"
12960,"not ( ( ( ( x_3 <= 0.1794 or x_2 <= 0.0739 ) or always[22,32] ( x_2 <= 0.3747 ) ) or not ( eventually ( x_0 <= 0.2755 ) ) ) )"
12961,"always[19,35] ( always[7,26] ( always[32,36] ( not ( x_3 >= -0.1321 ) ) ) )"
12962,"( ( ( ( x_3 >= 0.2201 or x_1 >= 0.0775 ) and eventually ( x_2 <= 0.4918 ) ) and ( ( x_1 <= -0.697 and x_0 <= 0.4445 ) until[2,inf] ( x_2 <= -0.7162 and x_0 >= 0.2374 ) ) ) or ( not ( ( x_3 >= 0.1695 until[32,34] x_1 <= 2.3146 ) ) or ( ( x_0 <= 0.7312 or x_0 <= -0.846 ) until[6,inf] always[34,inf] ( x_1 >= -0.8447 ) ) ) )"
12963,"always[22,27] ( ( ( not ( x_0 <= -1.7088 ) and ( x_1 >= 2.1262 or x_0 <= -0.6753 ) ) until[13,inf] eventually[8,21] ( ( x_0 <= 0.8635 and x_0 >= 0.5488 ) ) ) )"
12964,"( not ( not ( eventually[18,32] ( x_3 <= -2.9264 ) ) ) until[14,28] ( ( ( x_1 <= 0.3831 until[32,34] x_3 <= -0.3171 ) and not ( x_1 >= 1.0142 ) ) or not ( eventually[32,36] ( x_2 <= 0.2854 ) ) ) )"
12965,"( ( eventually[25,36] ( always[19,21] ( x_3 <= -0.3725 ) ) or eventually[30,33] ( ( x_0 <= 0.7579 or x_2 >= 0.3946 ) ) ) or ( ( always[16,20] ( x_3 <= -1.2673 ) or not ( x_0 <= 1.8003 ) ) or eventually[17,34] ( always[3,inf] ( x_2 >= 0.3575 ) ) ) )"
12966,"( ( ( always[13,16] ( x_1 >= -0.2712 ) until eventually[1,35] ( x_3 <= 1.3378 ) ) or not ( eventually[16,18] ( x_2 <= -0.4883 ) ) ) or always[18,24] ( always[31,36] ( not ( x_0 <= -0.6793 ) ) ) )"
12967,"( eventually[0,inf] ( not ( ( x_3 <= 0.1054 and x_2 <= -1.1592 ) ) ) until[4,inf] ( eventually[23,25] ( not ( x_2 >= -0.4214 ) ) or not ( ( x_3 >= -0.0128 until[8,11] x_2 >= -0.4877 ) ) ) )"
12968,"( ( eventually[7,32] ( ( x_3 <= 0.8478 or x_0 <= -1.3576 ) ) and always[18,inf] ( eventually[26,33] ( x_0 >= 1.6417 ) ) ) until[16,inf] eventually[2,inf] ( not ( ( x_0 <= -0.936 or x_3 <= -0.5992 ) ) ) )"
12969,"not ( always[6,12] ( ( not ( x_2 <= -0.1051 ) until[30,36] always[7,inf] ( x_1 >= -1.6808 ) ) ) )"
12970,"( not ( ( eventually[13,27] ( x_1 >= -1.2267 ) and always[12,33] ( x_3 >= -1.2879 ) ) ) or always[20,36] ( eventually[2,11] ( ( x_1 >= 0.4814 until[15,26] x_3 >= 0.5415 ) ) ) )"
12971,"( ( ( eventually[19,35] ( x_2 <= -1.261 ) until[28,33] always[26,29] ( x_1 >= -0.2792 ) ) or ( ( x_1 <= 0.0264 until[21,23] x_1 <= -0.2013 ) or ( x_3 <= -0.5248 or x_2 <= -0.4746 ) ) ) and ( ( not ( x_3 <= 1.0611 ) and ( x_2 >= -0.6183 until[28,36] x_0 <= 1.2427 ) ) until[14,19] ( ( x_3 <= -0.4091 and x_0 <= -1.6245 ) or ( x_1 >= -1.0124 and x_1 >= 0.9289 ) ) ) )"
12972,"not ( ( eventually[16,35] ( eventually[34,36] ( x_3 >= -0.738 ) ) or ( eventually[9,35] ( x_0 <= -1.2261 ) and eventually ( x_2 >= -0.0418 ) ) ) )"
12973,"( ( not ( always[12,32] ( x_1 <= -0.6666 ) ) or always[2,35] ( eventually[10,21] ( x_0 >= -1.1486 ) ) ) or ( ( eventually ( x_1 <= -0.103 ) and eventually[10,30] ( x_1 <= 0.0923 ) ) until[33,35] ( ( x_1 >= 1.1192 until[23,inf] x_3 >= -0.5721 ) or always[24,26] ( x_2 <= 0.5634 ) ) ) )"
12974,"not ( not ( ( eventually[4,22] ( x_0 <= 0.4037 ) or ( x_2 <= 0.8296 or x_1 <= -1.1142 ) ) ) )"
12975,"( ( ( ( x_2 >= -0.4251 and x_1 <= -2.1633 ) and ( x_3 >= 0.1783 and x_2 >= 0.7466 ) ) until ( ( x_1 >= 1.3528 and x_1 <= -1.7271 ) or always[22,32] ( x_1 >= 0.0887 ) ) ) until[10,28] ( not ( always[2,31] ( x_1 <= 1.6535 ) ) or ( ( x_0 >= -0.8818 and x_1 >= -1.7151 ) or ( x_3 <= -0.1357 until[6,inf] x_0 <= -0.0036 ) ) ) )"
12976,"not ( ( not ( eventually[4,21] ( x_3 >= 0.5676 ) ) and ( ( x_3 >= -0.2502 until[22,inf] x_1 >= 0.195 ) or ( x_0 >= -0.0566 until x_1 >= -0.0581 ) ) ) )"
12977,"always[20,inf] ( ( eventually[3,30] ( ( x_2 <= -0.07 or x_1 <= -0.6662 ) ) or always[25,30] ( always[28,inf] ( x_2 <= 0.4463 ) ) ) )"
12978,"always[1,30] ( ( ( always[14,32] ( x_1 >= 1.0917 ) and not ( x_2 <= -0.0081 ) ) and ( not ( x_0 <= -0.5014 ) or not ( x_1 <= 0.0693 ) ) ) )"
12979,"always[1,24] ( ( not ( ( x_3 >= -0.0044 and x_2 <= 0.6033 ) ) until[18,inf] ( ( x_1 >= 0.1387 until[5,32] x_0 <= 0.4884 ) and ( x_2 >= 0.5106 and x_2 <= 1.4115 ) ) ) )"
12980,"always[15,25] ( ( eventually[14,22] ( ( x_3 <= -0.7748 or x_3 >= 0.2156 ) ) or always[22,34] ( always[2,29] ( x_0 <= 0.5585 ) ) ) )"
12981,"eventually ( not ( eventually[19,inf] ( not ( x_2 >= 0.8475 ) ) ) )"
12982,"( ( ( always[34,36] ( x_3 <= 2.8109 ) and ( x_1 <= 0.8233 until[12,31] x_0 <= -0.064 ) ) or ( ( x_1 >= -0.2164 and x_1 >= -0.4828 ) or always[7,9] ( x_3 <= -0.1179 ) ) ) and eventually[32,35] ( ( eventually[24,31] ( x_3 >= -0.1444 ) and ( x_0 <= 0.9092 until[25,30] x_2 <= -1.0323 ) ) ) )"
12983,"eventually[24,27] ( always[13,29] ( not ( ( x_3 <= 0.3044 or x_3 >= -0.4492 ) ) ) )"
12984,"not ( always[19,30] ( eventually[34,36] ( ( x_2 >= 0.392 and x_2 <= -0.6499 ) ) ) )"
12985,"( ( always[3,inf] ( ( x_0 >= 0.616 and x_3 >= 1.1762 ) ) until[12,22] ( not ( x_0 <= 0.4868 ) until[2,inf] always[5,inf] ( x_3 >= 0.0717 ) ) ) or not ( not ( always ( x_1 >= -0.1823 ) ) ) )"
12986,"eventually[11,34] ( not ( not ( ( x_2 <= 1.0753 and x_3 >= -1.0169 ) ) ) )"
12987,"( eventually[5,10] ( ( always ( x_1 >= 0.4354 ) until[2,inf] always[3,34] ( x_0 <= 0.5503 ) ) ) until[10,34] eventually[14,inf] ( ( not ( x_3 <= -0.2197 ) or eventually[4,8] ( x_0 >= 0.9627 ) ) ) )"
12988,"eventually[18,30] ( always ( eventually[0,19] ( ( x_2 >= 0.3687 and x_2 <= -0.1458 ) ) ) )"
12989,"eventually[1,31] ( always[23,34] ( ( ( x_1 >= -0.3145 until[26,34] x_1 >= -0.2003 ) or ( x_2 >= -0.6509 until[30,32] x_0 >= -0.7061 ) ) ) )"
12990,"always[11,22] ( ( ( not ( x_2 <= 0.9238 ) or not ( x_1 <= -0.4437 ) ) and always[10,24] ( ( x_1 <= 0.2148 or x_0 >= 0.6358 ) ) ) )"
12991,"not ( ( always[6,36] ( ( x_1 <= 0.5829 and x_1 <= 1.1689 ) ) and ( always[5,34] ( x_3 >= -1.2537 ) or ( x_0 >= -0.4523 or x_3 <= 1.3222 ) ) ) )"
12992,"eventually[25,29] ( always[22,35] ( ( not ( x_1 >= 0.1664 ) until[17,inf] not ( x_1 >= 0.5002 ) ) ) )"
12993,"( ( ( not ( x_3 <= 1.0151 ) or ( x_2 >= -0.2196 and x_2 <= -0.9133 ) ) or eventually[22,25] ( always[13,18] ( x_0 >= -0.3852 ) ) ) or eventually[21,inf] ( eventually[13,inf] ( ( x_2 >= -1.5221 or x_3 >= 0.7501 ) ) ) )"
12994,"( ( ( ( x_0 <= 1.1124 and x_0 >= -0.7264 ) until[31,36] ( x_3 <= -1.2138 and x_3 >= -1.3616 ) ) or ( not ( x_1 >= -1.1708 ) or ( x_2 >= 0.29 until[25,33] x_3 >= 0.9251 ) ) ) and ( ( ( x_2 <= 0.5692 or x_2 <= -1.4084 ) until ( x_1 <= 1.2793 or x_3 <= -0.6702 ) ) and ( ( x_1 <= -1.8818 until[8,11] x_1 >= 1.0868 ) until[3,inf] ( x_0 <= -0.6091 and x_2 <= 0.4875 ) ) ) )"
12995,"always[10,inf] ( ( not ( not ( x_0 <= -1.7977 ) ) and ( eventually[11,21] ( x_1 <= -0.9862 ) or not ( x_0 >= 0.2245 ) ) ) )"
12996,"not ( eventually[18,28] ( ( always[0,28] ( x_2 >= 1.0176 ) until[27,31] not ( x_1 <= -0.0838 ) ) ) )"
12997,"( not ( not ( ( x_3 <= -0.0093 and x_2 <= -1.5965 ) ) ) until[14,16] ( ( always[34,36] ( x_1 >= -2.2479 ) or ( x_2 <= -0.3723 and x_2 <= 0.6976 ) ) until not ( always[14,22] ( x_0 >= -0.4854 ) ) ) )"
12998,"eventually[12,23] ( eventually[11,19] ( ( always[19,24] ( x_2 >= 1.5175 ) and ( x_0 >= -0.5184 until[2,29] x_3 <= 0.8898 ) ) ) )"
12999,"( always[19,25] ( ( ( x_2 <= -0.6705 or x_1 <= 0.7712 ) until[20,27] ( x_1 <= 0.7036 or x_2 <= -1.4561 ) ) ) until[15,23] ( not ( eventually[3,26] ( x_2 <= -0.884 ) ) or always[25,inf] ( ( x_2 <= 0.2724 and x_3 <= -1.7731 ) ) ) )"
13000,"not ( not ( always[33,36] ( always[18,20] ( x_3 >= -0.8174 ) ) ) )"
13001,"( not ( ( not ( x_3 >= -1.1112 ) or ( x_2 <= -0.8239 until[3,30] x_1 <= 0.8097 ) ) ) until[5,24] not ( ( eventually[2,14] ( x_1 >= 0.8426 ) until[9,34] eventually ( x_1 >= -0.7184 ) ) ) )"
13002,"eventually[1,9] ( ( ( always[14,17] ( x_2 <= -0.8031 ) and ( x_3 <= 1.8473 and x_1 <= 0.9719 ) ) or ( not ( x_2 >= -0.0963 ) or ( x_1 <= -0.1982 until[21,28] x_3 <= 0.3357 ) ) ) )"
13003,"( not ( eventually[1,12] ( ( x_3 <= -2.1174 and x_2 <= -0.0135 ) ) ) until[29,31] ( ( ( x_2 >= 0.4681 or x_2 <= -0.0427 ) until[29,inf] not ( x_2 >= 0.7236 ) ) and not ( not ( x_1 >= -2.3421 ) ) ) )"
13004,"eventually[12,inf] ( always[12,21] ( always[14,23] ( not ( x_1 >= -1.2606 ) ) ) )"
13005,"eventually[13,32] ( always[30,32] ( eventually[30,inf] ( ( x_2 <= -0.1076 until x_2 <= 0.855 ) ) ) )"
13006,"always[21,29] ( ( eventually ( ( x_2 <= 1.0259 until[34,inf] x_1 >= -0.5385 ) ) or ( eventually[16,30] ( x_2 >= 0.0966 ) until ( x_0 <= -0.3517 and x_3 >= 0.5236 ) ) ) )"
13007,"always[7,22] ( not ( not ( ( x_0 <= 0.7486 and x_3 <= 0.6117 ) ) ) )"
13008,"eventually[18,inf] ( ( ( always[26,35] ( x_0 <= 1.0671 ) or eventually[17,29] ( x_1 <= 0.3756 ) ) until[8,inf] not ( not ( x_2 <= 0.9106 ) ) ) )"
13009,"not ( ( always[5,inf] ( ( x_1 >= 0.5789 and x_1 >= 0.4313 ) ) and eventually ( ( x_1 >= 1.0352 until[12,19] x_3 <= -0.0176 ) ) ) )"
13010,"always[2,inf] ( eventually[23,33] ( ( eventually[5,17] ( x_0 <= 0.9463 ) or ( x_2 >= -0.3254 or x_2 >= 1.9839 ) ) ) )"
13011,"( not ( eventually[8,21] ( ( x_3 <= -1.2133 or x_1 <= 0.1523 ) ) ) or ( eventually[21,29] ( ( x_0 <= -1.9471 and x_2 >= -0.0755 ) ) and ( eventually[31,35] ( x_0 <= 0.7082 ) or ( x_3 <= -0.1637 and x_2 <= -0.4936 ) ) ) )"
13012,"not ( ( ( ( x_3 >= 1.3056 and x_0 <= -1.3267 ) and not ( x_2 >= 0.3418 ) ) until[1,27] eventually[10,12] ( not ( x_3 >= -0.0403 ) ) ) )"
13013,"always[24,35] ( not ( not ( ( x_0 <= -0.5183 or x_0 <= -0.4004 ) ) ) )"
13014,"always[10,12] ( always[6,29] ( ( ( x_0 <= -0.4164 and x_0 <= -0.306 ) or ( x_2 >= -1.6938 until[19,inf] x_0 >= -0.2608 ) ) ) )"
13015,"always ( ( ( eventually[0,inf] ( x_2 <= -0.0618 ) or ( x_3 >= 0.1872 or x_2 <= -0.0166 ) ) and ( always[29,36] ( x_1 >= 0.0863 ) until[22,31] ( x_3 <= -0.2036 and x_1 >= 0.1425 ) ) ) )"
13016,"( always ( ( ( x_0 <= -0.3004 and x_3 >= -0.3399 ) and eventually[15,17] ( x_2 <= 0.0539 ) ) ) until[19,26] not ( ( ( x_1 >= -1.0133 or x_1 >= 1.6937 ) until[16,33] always[16,inf] ( x_3 <= -0.6199 ) ) ) )"
13017,"always[27,31] ( always[1,22] ( eventually ( ( x_3 >= -0.6456 or x_1 >= 1.3121 ) ) ) )"
13018,"( ( always[34,36] ( ( x_1 <= 0.4463 until[19,25] x_2 <= 0.4048 ) ) or ( ( x_2 <= 1.145 and x_0 <= -1.4191 ) and not ( x_1 <= -0.8377 ) ) ) or eventually[17,22] ( eventually[14,inf] ( always[16,32] ( x_0 <= -0.6192 ) ) ) )"
13019,eventually ( ( ( ( x_1 <= 0.057 and x_0 <= 1.4292 ) and ( x_0 >= 0.0271 or x_3 >= 1.0295 ) ) or ( not ( x_1 >= 0.9955 ) and ( x_3 <= 1.1817 or x_1 <= -1.082 ) ) ) )
13020,"eventually[2,inf] ( eventually[6,10] ( eventually[5,33] ( ( x_1 >= 1.532 until[11,20] x_3 <= 0.5907 ) ) ) )"
13021,"( ( ( not ( x_0 >= 0.1813 ) or ( x_1 <= 0.4036 and x_3 <= 1.7375 ) ) and always[13,25] ( ( x_2 >= 0.5149 or x_0 >= -1.3801 ) ) ) and ( not ( ( x_3 <= -0.2073 or x_2 >= -0.4654 ) ) and ( always[3,inf] ( x_1 >= 0.9166 ) or ( x_1 <= 2.3647 or x_0 <= -0.0971 ) ) ) )"
13022,"not ( ( always ( not ( x_0 >= 2.0361 ) ) or ( ( x_2 >= -1.3749 and x_2 <= -1.8991 ) and eventually[21,36] ( x_0 <= 0.3032 ) ) ) )"
13023,"not ( ( ( ( x_2 <= 1.375 or x_1 <= -0.8547 ) until[4,6] not ( x_3 >= -0.1158 ) ) and ( eventually[23,32] ( x_1 <= 0.9603 ) or ( x_1 <= -1.1735 until[4,8] x_3 >= 0.43 ) ) ) )"
13024,"( always[9,inf] ( ( eventually[15,inf] ( x_3 <= 0.8957 ) until[9,32] always[16,inf] ( x_3 >= -1.8555 ) ) ) and always[8,30] ( always ( ( x_0 <= 0.8759 or x_1 >= -0.1391 ) ) ) )"
13025,"always[27,inf] ( ( ( ( x_1 <= -1.498 or x_1 <= 0.7849 ) until[3,10] not ( x_2 >= 0.7318 ) ) until[16,34] ( not ( x_3 >= 1.6553 ) until[3,28] ( x_0 >= -0.6471 or x_1 >= 0.4514 ) ) ) )"
13026,"( not ( ( ( x_1 <= 1.2369 until[23,25] x_1 <= 1.0134 ) until[13,22] eventually ( x_1 <= 0.346 ) ) ) until[8,18] always[27,35] ( ( not ( x_2 >= -0.3734 ) or ( x_2 <= 0.3242 or x_1 <= 0.0178 ) ) ) )"
13027,"eventually[21,29] ( not ( ( always ( x_3 >= -0.293 ) until ( x_0 <= 0.6924 until[30,35] x_2 <= 0.6752 ) ) ) )"
13028,"not ( ( ( ( x_3 >= -0.8297 or x_0 >= 0.1445 ) and not ( x_1 <= -1.2724 ) ) or ( ( x_0 >= -0.3883 or x_3 >= 0.2515 ) and eventually[8,33] ( x_2 <= -0.8872 ) ) ) )"
13029,"eventually[6,15] ( ( not ( ( x_1 <= -1.5753 or x_1 >= -0.6263 ) ) until[6,11] eventually[10,16] ( eventually[7,26] ( x_1 >= -0.0442 ) ) ) )"
13030,"eventually[23,inf] ( eventually[17,27] ( ( ( x_2 <= 0.5614 or x_0 >= -0.8178 ) until[24,30] ( x_0 >= 0.7114 and x_2 <= 0.5287 ) ) ) )"
13031,"always[5,21] ( eventually[13,36] ( ( always[3,inf] ( x_2 <= -0.3808 ) and ( x_2 >= 0.0015 until[16,26] x_3 <= 0.6037 ) ) ) )"
13032,"( not ( ( ( x_2 <= -1.6085 until[2,16] x_3 <= 0.1864 ) until[5,inf] not ( x_0 >= -1.505 ) ) ) until ( not ( always ( x_2 <= -0.3616 ) ) until[34,36] eventually[34,36] ( eventually[4,6] ( x_0 >= 1.1348 ) ) ) )"
13033,"( ( always ( always[2,30] ( x_0 <= 0.097 ) ) and not ( not ( x_2 >= -0.0086 ) ) ) until[29,34] not ( ( eventually ( x_1 <= 1.1091 ) or not ( x_2 <= -1.148 ) ) ) )"
13034,"not ( ( eventually[5,22] ( ( x_3 <= 0.8029 until[2,14] x_3 <= -0.2193 ) ) until[16,34] ( ( x_2 >= 2.1482 or x_3 <= -1.4206 ) until ( x_2 <= 0.9074 or x_2 <= 0.4306 ) ) ) )"
13035,"eventually[3,12] ( ( always[34,36] ( ( x_0 >= 0.7823 until[3,27] x_3 >= 0.3212 ) ) and not ( always[24,32] ( x_3 >= 0.3347 ) ) ) )"
13036,"( ( ( always ( x_0 >= -0.5531 ) until[6,21] ( x_1 <= -0.1887 and x_3 >= -0.8186 ) ) or always[5,29] ( ( x_2 >= 2.6673 or x_1 <= 0.3616 ) ) ) until[7,25] ( ( ( x_0 <= -0.7635 or x_1 <= -2.1622 ) or eventually[1,inf] ( x_1 <= -1.2667 ) ) until ( ( x_2 >= 0.0714 until x_1 <= -0.896 ) until[30,33] ( x_2 >= 1.7878 or x_1 >= -0.4067 ) ) ) )"
13037,"eventually[8,10] ( ( ( eventually ( x_0 >= 1.6724 ) or not ( x_2 <= 1.1462 ) ) until not ( ( x_2 <= 0.6554 or x_1 <= -0.7209 ) ) ) )"
13038,"eventually[9,20] ( ( ( not ( x_0 <= 0.6307 ) or ( x_2 >= 0.9049 or x_1 >= -0.9853 ) ) and always[13,35] ( always ( x_2 >= -0.5501 ) ) ) )"
13039,"( ( ( ( x_1 >= -1.152 or x_2 >= -0.3497 ) and not ( x_0 <= -0.6887 ) ) or ( ( x_1 >= 2.7645 or x_2 <= -0.4584 ) until[18,33] eventually ( x_0 >= 0.0816 ) ) ) until[0,5] ( not ( ( x_0 >= 0.6962 and x_3 <= 1.172 ) ) or ( not ( x_2 <= -1.9283 ) and ( x_3 >= 0.5172 or x_1 <= 0.9525 ) ) ) )"
13040,"( not ( ( eventually[29,34] ( x_1 >= -0.4388 ) and ( x_3 <= 0.4404 or x_0 <= -1.1155 ) ) ) and ( eventually[29,34] ( always[14,21] ( x_1 >= 0.1021 ) ) until[9,22] ( always[15,26] ( x_3 >= 0.5675 ) and ( x_1 >= -0.9715 and x_2 >= -1.2023 ) ) ) )"
13041,"eventually[20,27] ( always[26,inf] ( always[3,17] ( ( x_2 <= -1.1462 until[13,23] x_0 >= 0.7693 ) ) ) )"
13042,"( ( ( not ( x_2 >= -0.6998 ) or ( x_1 >= -2.0892 until[12,16] x_2 >= 0.3933 ) ) or eventually[30,33] ( ( x_3 >= -0.529 until[13,23] x_1 <= -1.0673 ) ) ) and eventually[20,33] ( always[4,inf] ( ( x_3 >= -0.9813 or x_0 <= -1.2797 ) ) ) )"
13043,"not ( ( not ( always[8,18] ( x_3 >= -1.5323 ) ) until[10,33] ( eventually[14,20] ( x_2 <= -0.2848 ) and eventually[5,inf] ( x_3 <= 0.8823 ) ) ) )"
13044,"( eventually[16,21] ( ( always[17,24] ( x_0 <= -0.2047 ) until[4,inf] ( x_2 <= 0.0603 and x_3 >= 0.1473 ) ) ) or ( eventually[7,24] ( ( x_0 >= 0.9032 until x_3 <= 0.1809 ) ) or eventually[21,23] ( ( x_1 <= 1.3195 and x_2 <= 0.1548 ) ) ) )"
13045,not ( not ( not ( ( x_0 >= 0.4646 and x_1 <= 0.1397 ) ) ) )
13046,"( ( ( not ( x_3 <= 1.3922 ) or ( x_1 >= 1.0332 and x_1 >= -0.917 ) ) and ( eventually[5,25] ( x_3 >= -0.3634 ) or ( x_0 >= 0.5547 and x_1 <= 0.2026 ) ) ) or ( always[26,35] ( ( x_3 <= -0.7531 or x_0 >= 0.5642 ) ) or ( always[31,inf] ( x_3 >= 2.0237 ) until[26,inf] ( x_3 <= -0.6102 until[12,14] x_1 >= -0.5282 ) ) ) )"
13047,"always[14,22] ( always[14,18] ( not ( ( x_3 >= 1.2583 until[27,30] x_3 <= 1.6117 ) ) ) )"
